1	1	positive	- ada nasi liwet - lauk nya beragam dari ayam , burung dara Cuma miscall , ikan hingga udang - lokasinya di pusat kota - tempatnya nuansa jaman dulu banget
2	1	positive	- Iga Bakar Spesial Paket Rpaarb porsi besar - Tongseng mantap , tapi kurang pedas ( padahal paling pedas ) - Nasi Goreng Iga cocok buat anak remaja - Oseng - oseng Kangkung - Es Jeruk Gelasnya sedang Overall Muantaap
3	1	positive	- Suka banget sama rasa tahu di tempat ini . Lembut banget . Selalu mampir ke tempat ini untuk beli tahu baik makan di tempat ataupun oleh - oleh . - Food court nya menyajikan banyak makanan terutama olahan dari tahu . Kupat Tahu nya enak tapi sayang hanya buka hari Sabtu - Minggu .
4	1	positive	: - Tempe bacem , - gorengan ( bala-bala ) - pisang goreng . Suasana warung dengan furniture serba kayu dan view ke arah Barat yang ber bukit-bukit . Sayangnya lahan parkir yang sempit dan lokasi di jalanan yang menyempit sehingga sering bikin macet .
5	1	positive	. "Bagi kita yang rutin penuh kesibukan".ada saatnya menikmati suasana yang nyaman , damai , and tenang".salah satu upaya mengobati rasa _URL_ refreshing sambil menikmati makan siang di Kawasan Rumah Makan Sapu Lidi" . serasa kita berada di tengah sawah , suasana perdesaan,,,sejuk , wuah nikmat deh" . meski jarak dari Pusat kota Bandung,,,,agak jauh."Tak ada ungkapan yang lebih indah".selain.silahkan anda berkunjung ke RM . Sapu Lidi" .
6	1	positive	. "Sungguh sangat nikmati , ketika Kepiting Telor Goreng Mentega disantap",,,bisa tambah nasi . meski ekses kolesterol naik .
7	1	positive	. "Wisata Kuliner di Kota Bandung sangatlah banyak tempat , namun mencari yang khas sangat sedikit.Alas Daun adalah salah _URL_ di pusat kota sangat mudah dijangkau oleh kita . Menu dipesan dan selesai dimasak diantarkan di mana kita memilih tempat duduk . Menu Rumah Makan Sunda ini sungguh lengkap , harga terjangkau , dan sangat nikmat kita makan dengan dialasi daun.Bagi sahabat yang masih penasaran , coba . Lanjutan
8	1	positive	. Makan di sini yang pasti nikmat dengan menu utama Ayam Goreng Kampung . ditambah lagi disediakan telor asin Brebes asli.bermintak .
9	1	positive	' Sate Jando ' eits bukan sate janda iya ! Jando sendiri adalah gajih , lemak atau gajeboh dalam bahasa minang . Berlokasi di jalan cimandiri , tepat di belakang gedung sate . Buka nya pagi saja dari jam <number> sampai habis . Satu porsi nya rrK , yang tidak suka gajih ada pilihan lain daging sapi atau daging ayam , tapi saya pribadi lebih . Lanjutan
10	1	positive	" Ada Harga , Ada Rasa " mungkin tagline itu pas buat rumah makan Padang ini . Menu yang ditawarkan memang menggugah selera para penikmat masakan Padang , tapi siap - siap kantong menjadi " koyak " apalai mahasiswa :) Nasi + Kikil + Tempe : Rp 21.000 , -
11	1	positive	" .pokoknya kurang kurang afdol kalau ke Lembang atw ke Bandung ngg mampir ke sini.4 thumbs up buat kampung daun. "
12	1	positive	" .restourant pinggir kota Bandung yang letaknya di arah pas pintu masuk dago _URL_ di spot paling pinggir sisi jalan . bisa lihat pemandangan kota bandung.menunya full variasi bisa pesan _URL_ saya sih tetep menu _URL_ all good resto . . ."
13	1	positive	" Cafe yang cocok buat muda mudi yang sedang menjalani masa Pdkt ataupun sudah pacaran Tempat nyaman Dan Enak Makanan dan minumannyapun tidak terlalu bikin kantong bolong cocok banget untuk tempat kumpul-kumpul bareng teman ataupun sodara . ingin elegant tidak perlu mahal .
14	1	positive	" enak tapi tidak terlalu enak " saya makan sop buntut kuah dan bakar , dengan satu porsi nasi . sopbuntut bakar margarin terlalu banyak . sehingga tampak berminyak . sop buntut kuah , rasanya vetchin banget , beda sama dahulu ketika saya kecil , rasa rempah dan kepala sangat mencolok .
15	1	positive	" Kemarin <number> Agustus <number> , kami berempat buka puasa bersama di Restoran Grand Hotel Preanger Bandung , menu variety sangat lengkap & sangat lezat , begitu banyak tamu yang datang , mereka semua menikmatinya , pelayanannya sangat profesional , kami akan merekomendasikan ke relasi kami " Teddy Lukman <number> Friens
16	1	positive	" Makan Enak Sambil Nongton" , itulah slogan di Warung Misbar . Disini makanannya lumaya enak tapi agak dingin ( karena prasmanan) . Sambelnya pun enak , menu makanannya beragam . Setap ke Bandung saya selalu menyempatkan datang ke warung ini .
17	1	positive	" Rumah Miring " yang terlintas adalah permainan yang Ada di dunia fantasi Jakarta tertawa No , No , No ! ini adalah temapat makan resto atau cafe bahkan mungkin bar " katanya " Temp at ini terletak didaerah dago giri setelah Lawang wangi cafe keatas sedikit lah he Dari luar tidal tampak seperti restore cafe atau temp at kumpul-kumpul , hanya Ada parkiran Dan pintu _URL_ . Lanjutan
18	1	positive	( + ) Kualitas rasa makanan semua Ok , pilihan banyak , Harga terjangkau ( - ) layout jarak antar kursi di area smoking ( dekat layar besar ) terlalu sempit
19	1	positive	( + ) Positif : porsinya mantap , dan komplit sekali , ada siomaynya , baso tahu , baso urat dan ceker ayam , nyam . ( - ) Negatif : tempat parkirnya sangat sangat sangat terbatas
20	1	positive	( + ) Suasana benar - benar seperti di dalam hutan mini dengan aliran sungai di seluruh area Makanan enak Udara dingin dan sejuk ( - ) Harus mengantri gazebo dulu untuk mendapatkan tempat makan , namun staff kurang informatif
21	1	positive	* Porsi nya banyak , mie nya banyak * terdapat menu baso lengkap baso , tahu , babat , ceker , dan lain-lain * sebelum datang kosongin dulu perutnya * selalu penuh * kalau sore kehabisan * lokasi dekat palasari atau dekat hotel horison atau dekat rs.muhamadiyah atau dekat perempatan lingkar selatan - turangga * khusus hari jumat tutup * enak !
22	1	positive	# day1/5#family's_trip#bandung#exploringsouthtonorth Tiba di Bandung langsung meluncur kesini bareng kedua Maha Ratu ku dengan guide ' mbah googs map' . Suasananya cozy , sedikit bergaya eropa , dan kids friendly i thing soalnya di cafe ini juga terdapat arena playground seperti prosotan , ayunan , mainan lego , sampai kelinci juga ada disini . So kami para orang tua bisa tenang sarapan sedangkan puteri mungil kami asik bermain sambil . Lanjutan
23	1	positive	+ banyak pilihan kuliner yang terkenal + lokasi enak di dago - susah parkir meskipun bukan jam makan - makanan favorit cepat habis
24	1	positive	+ Lokasi gampang akses + Makanannya enak ( walaupun mahal ) + Suasananya cozy + wifi cepat + cocok buat couple maupun keluarga
25	1	positive	+ Makanan standar enak + Lokasi bagus + wifinya kenceng + Tehnya enak ( mesti beli ini ) + decornya enak buat kumpul-kumpul - parkir susah - mesti bedain tempat smoking areanya !
26	1	positive	+ tempat jadi lebih bagus karena waktu saya kuliah dulu tempatnya di kaki lima depan bang danamon + makanannya iya kelasnya biasa , makanan anak kos , tapi kok iya ramai - ramai banget , susah dapat meja - pelayanan agak lama karena ramai sekali
27	1	negative	+ wifinya kenceng + kakak perempuan nya gelas gede - less cholesterol ( di gambarnya begitu ) - makanan terlalu berminyak - rasanya kurang oke - menunggu <number> - <number> menit buat makanan datang ( sudah dibilangin bakal lama karena lebaran )
28	1	positive	+: makanan enak , halal , pilihan menu cukup bervariasi , harga relatif tidak terlalu mahal , suasana cozy , letak di daerah dago bawah sehingga cukup mudah dijangkau dan masih dapat hawa segar Bandung - : tempat tidak terlalu luas
29	1	positive	+: Menu variatif , rasanya enak , harga ' tidak mencekik leher ' - : dekorasi dan interior yang dulu pada masanya mungkin bagus , tapi saat ini sudah mulai tampak lusuh . Sebaiknya diremajakan untuk tampilan yang lebih segar dengan tetap mempertahankan khas sundanya
30	1	positive	~ ADA beragam masakan Indonesia dan Eropa yang ditawarkan Kedai Nyonya Rumah , Jalan Trunojoyo Nomor <number> , kawasan Dago , salah satu tempat kuliner Bandung . Kedai yang mengusung konsep cafe dan cake shop ini mengandalkan nama besar Julie Sutardjana yang lahir <number> Mei 192-19-19 atau 9-9 tahun lebih <number> bulan usianya ketika penulis bersantap malam di sana , September <number> . Nama Oma Julie . Lanjutan
31	1	positive	~ jarak tidak terlalu jauh ~ makanannya Enak dan penyajiannya cepat ( penting banget kalau yang sudah laper dijalan ) ~ luas banget tempatnya , untuk sampai ke gubuk agak menanjak jadi lumayan kehabisan nafas , tapi cuaca dingin , suara musik angklung , suara air mengalir bikin capeknya hilang ~ walaupun outdoor tapi very well organized dan bersih ~ yang paling penting harganya tidak semahal . Lanjutan
32	1	positive	~ DIDIRIKAN sebagai wujud dedikasi dan apresiasi kepada para jagoan jagoan masak zaman dahulu , ibu ibu rumah tangga dan pembantu pembantu rumah yang telah berjasa dalam memperkaya khasana dan cita rasa masakan sunda sehingga menjadi kekayaan keanekaragaman cita rasa nusantara sampai saat ini~ ~ Dusun gunung dusun pesisir , semua sedang unjuk rasa di seluruh Indonesia~ ~ Itulah tulisan yang terpampang di dinding restoran . Lanjutan
